0.220, 0.000, 30.0
0.306, 0.026, 0.6
0.394, 0.048, 30.0
0.460, 0.110, 59.4
0.486, 0.196, 88.8
0.490, 0.378, 88.8
0.558, 0.638, 59.4
0.620, 0.702, 30.0
0.878, 0.780, 0.6
1.240, 0.784, 0.6
1.328, 0.764, 331.2
1.394, 0.704, 301.8
1.478, 0.448, 272.4
1.460, 0.360, 243.0
1.396, 0.098, 272.4
1.468, -0.162, 301.8
1.496, -0.248, 272.4
1.568, -0.508, 301.8
1.664, -0.662, 301.8
1.728, -0.726, 331.2
1.886, -0.814, 331.2
1.972, -0.838, 0.6
2.334, -0.834, 0.6
2.422, -0.812, 30.0
2.618, -0.628, 59.4
2.680, -0.564, 30.0
2.838, -0.474, 30.0
2.996, -0.384, 30.0
3.062, -0.322, 59.4
3.124, -0.258, 30.0
3.320, -0.074, 59.4
3.508, 0.120, 30.0
3.704, 0.304, 59.4
3.888, 0.616, 59.4
4.076, 0.810, 30.0
4.162, 0.836, 0.6
4.524, 0.840, 0.6
4.612, 0.820, 331.2
4.678, 0.760, 301.8
4.762, 0.504, 272.4
4.786, 0.418, 301.8
4.976, 0.108, 301.8
5.004, 0.022, 272.4
